gene-symbol	gene-score	syndromic
PCDHA5	4	0
PCDHA6	4	0
PATJ	4	0
PCDHA7	4	0
PCDHA8	4	0
PCDHA9	4	0
PCDHGA11	5	0
PDCD1	4	0
PDE4B	5	0
PDZD4	5	0
PECR	5	0
PER1	4	0
PER2	3	0
PGLYRP2	5	0
PHF2	3	0
PHF3	2	0
PHIP	3	1
PHRF1	3	0
PIK3R2	NA	1
PINX1	5	0
PITX1	4	0
PLCB1	3	0
PLCD1	5	0
PLN	4	0
PLXNA3	4	0
PLXNA4	3	0
PLXNB1	3	0
PNPLA7	4	0
POGZ	1	1
POLA2	4	0
POMT1	4	0
POT1	4	0
POU3F2	5	0
PPM1D	4	1
PPP1R3F	5	0
PPP2R1B	4	0
PPP2R5D	4	1
PREX1	3	0
PRICKLE1	3	0
PRICKLE2	3	0
PRKCB	3	0
PRKD1	NA	1
PRKDC	4	0
PRODH	3	1
PRPF39	4	0
PRR12	NA	1
PRUNE2	4	0
PSD3	4	0
PSMD10	5	0
PSMD12	NA	1
PTBP2	4	0
PRKN	3	0
PAFAH1B1	5	0
PAK2	3	0
PCDHAC1	4	0
PCDHAC2	4	0
PDE1C	4	0
PDE4A	5	0
PEX7	4	0
PHB	3	0
PHF8	NA	1
PIK3CG	4	0
PLAUR	4	0
POMGNT1	NA	1
PON1	3	0
PPFIA1	4	0
PRSS38	NA	0
PTCHD1	2	0
PTEN	1	1
PLPPR4	5	0
PPP1R1B	4	0
PTGER3	5	0
PTK7	3	0
PTPN11	4	1
PTPRB	4	0
PYHIN1	3	0
QRICH1	4	0
RAB11FIP5	4	0
RAB2A	3	0
RAB39B	4	0
RAB43	3	0
RAC1	5	0
RAD21L1	4	0
RAI1	3	1
RANBP17	2	0
RAPGEF4	4	0
RB1CC1	5	0
RBFOX1	3	0
RBM27	3	0
RBM8A	5	0
RBMS3	5	0
REEP3	4	0
RELN	1	0
RERE	4	1
RFWD2	5	0
RFX3	4	0
RGS7	4	0
RHEB	NA	1
RIMS1	2	0
RIMS3	4	0
RLIM	NA	1
RNF135	4	1
RNF38	4	0
ROBO1	5	0
ROBO2	3	0
RORA	NA	1
RPL10	4	0
RPS6KA2	4	0
RPS6KA3	4	1
SAE1	3	0
SATB2	4	1
SBF1	3	0
SCFD2	4	0
SCN1A	3	1
SCN2A	1	0
